date,Hoarding,isPartial
2020-04-05,100,False
2020-04-12,14,False
2020-04-19,69,False
2020-04-26,54,False
2020-05-03,20,False
2020-05-10,0,False
2020-05-17,30,False
2020-05-24,18,False
2020-05-31,39,False
2020-06-07,13,False
2020-06-14,30,False
2020-06-21,20,False
2020-06-28,20,False
2020-07-05,29,False
2020-07-12,31,False
2020-07-19,66,False
2020-07-26,39,False
2020-08-02,35,False
2020-08-09,16,False
2020-08-16,15,False
2020-08-23,36,False
2020-08-30,23,False
2020-09-06,0,False
2020-09-13,14,False
2020-09-20,34,False
2020-09-27,33,False
2020-10-04,9,False
2020-10-11,38,False
2020-10-18,19,False
2020-10-25,12,False
2020-11-01,18,False
2020-11-08,11,False
2020-11-15,10,False
2020-11-22,16,False
2020-11-29,30,False
2020-12-06,16,False
2020-12-13,34,False
2020-12-20,23,False
2020-12-27,18,False
2021-01-03,33,False
2021-01-10,0,False
2021-01-17,29,False
2021-01-24,29,False
2021-01-31,13,False
2021-02-07,42,False
2021-02-14,35,False
2021-02-21,16,False
2021-02-28,0,False
2021-03-07,43,False
2021-03-14,23,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,24,False
